year,nuts_id,nuts_year_spec,graduate_startups
2014,UKC1,2013,263
2014,UKC2,2013,343
2014,UKD1,2013,35
2014,UKD3,2013,377
2014,UKD4,2013,1029
2014,UKD6,2013,0
2014,UKD7,2013,292
2014,UKE1,2013,56
2014,UKE2,2013,11
2014,UKE3,2013,138
2014,UKE4,2013,362
2014,UKF1,2013,462
2014,UKF2,2013,428
2014,UKF3,2013,52
2014,UKG1,2013,0
2014,UKG2,2013,148
2014,UKG3,2013,542
2014,UKH1,2013,197
2014,UKH2,2013,613
2014,UKH3,2013,17
2014,UKI3,2013,968
2014,UKI4,2013,207
2014,UKI5,2013,13
2014,UKI6,2013,950
2014,UKI7,2013,0
2014,UKJ1,2013,128
2014,UKJ2,2013,255
2014,UKJ3,2013,714
2014,UKJ4,2013,27
2014,UKK1,2013,196
2014,UKK2,2013,132
2014,UKK3,2013,209
2014,UKK4,2013,71
2014,UKL1,2013,824
2014,UKL2,2013,409
2014,UKM2,2013,389
2014,UKM3,2013,116
2014,UKM5,2013,1
2014,UKM6,2013,0
2014,UKN0,2013,4
2015,UKC1,2013,281
2015,UKC2,2013,358
2015,UKD1,2013,35
2015,UKD3,2013,340
2015,UKD4,2013,1023
2015,UKD6,2013,0
2015,UKD7,2013,315
2015,UKE1,2013,85
2015,UKE2,2013,22
2015,UKE3,2013,169
2015,UKE4,2013,375
2015,UKF1,2013,460
2015,UKF2,2013,443
2015,UKF3,2013,114
2015,UKG1,2013,4
2015,UKG2,2013,218
2015,UKG3,2013,512
2015,UKH1,2013,188
2015,UKH2,2013,604
2015,UKH3,2013,28
2015,UKI3,2013,946
2015,UKI4,2013,307
2015,UKI5,2013,16
2015,UKI6,2013,878
2015,UKI7,2013,0
2015,UKJ1,2013,133
2015,UKJ2,2013,289
2015,UKJ3,2013,769
2015,UKJ4,2013,30
2015,UKK1,2013,142
2015,UKK2,2013,62
2015,UKK3,2013,202
2015,UKK4,2013,85
2015,UKL1,2013,927
2015,UKL2,2013,483
2015,UKM2,2013,406
2015,UKM3,2013,141
2015,UKM5,2013,7
2015,UKM6,2013,0
2015,UKN0,2013,0
2016,UKC1,2016,219
2016,UKC2,2016,393
2016,UKD1,2016,55
2016,UKD3,2016,382
2016,UKD4,2016,1041
2016,UKD6,2016,0
2016,UKD7,2016,325
2016,UKE1,2016,75
2016,UKE2,2016,16
2016,UKE3,2016,176
2016,UKE4,2016,414
2016,UKF1,2016,650
2016,UKF2,2016,417
2016,UKF3,2016,149
2016,UKG1,2016,16
2016,UKG2,2016,271
2016,UKG3,2016,346
2016,UKH1,2016,251
2016,UKH2,2016,598
2016,UKH3,2016,28
2016,UKI3,2016,1163
2016,UKI4,2016,352
2016,UKI5,2016,15
2016,UKI6,2016,860
2016,UKI7,2016,0
2016,UKJ1,2016,157
2016,UKJ2,2016,305
2016,UKJ3,2016,845
2016,UKJ4,2016,94
2016,UKK1,2016,247
2016,UKK2,2016,1
2016,UKK3,2016,201
2016,UKK4,2016,101
2016,UKL1,2016,1054
2016,UKL2,2016,489
2016,UKM5,2016,26
2016,UKM6,2016,0
2016,UKM7,2016,460
2016,UKM8,2016,175
2016,UKN0,2016,0
2017,UKC1,2016,225
2017,UKC2,2016,409
2017,UKD1,2016,76
2017,UKD3,2016,403
2017,UKD4,2016,1027
2017,UKD6,2016,0
2017,UKD7,2016,310
2017,UKE1,2016,82
2017,UKE2,2016,27
2017,UKE3,2016,270
2017,UKE4,2016,367
2017,UKF1,2016,629
2017,UKF2,2016,418
2017,UKF3,2016,138
2017,UKG1,2016,17
2017,UKG2,2016,298
2017,UKG3,2016,454
2017,UKH1,2016,248
2017,UKH2,2016,637
2017,UKH3,2016,70
2017,UKI3,2016,1375
2017,UKI4,2016,371
2017,UKI5,2016,11
2017,UKI6,2016,770
2017,UKI7,2016,1
2017,UKJ1,2016,155
2017,UKJ2,2016,283
2017,UKJ3,2016,1114
2017,UKJ4,2016,91
2017,UKK1,2016,304
2017,UKK2,2016,3
2017,UKK3,2016,197
2017,UKK4,2016,126
2017,UKL1,2016,1146
2017,UKL2,2016,489
2017,UKM5,2016,36
2017,UKM6,2016,0
2017,UKM7,2016,557
2017,UKM8,2016,172
2017,UKN0,2016,3
2018,UKC1,2016,212
2018,UKC2,2016,388
2018,UKD1,2016,38
2018,UKD3,2016,444
2018,UKD4,2016,982
2018,UKD6,2016,0
2018,UKD7,2016,279
2018,UKE1,2016,121
2018,UKE2,2016,30
2018,UKE3,2016,273
2018,UKE4,2016,382
2018,UKF1,2016,655
2018,UKF2,2016,505
2018,UKF3,2016,130
2018,UKG1,2016,18
2018,UKG2,2016,337
2018,UKG3,2016,522
2018,UKH1,2016,320
2018,UKH2,2016,765
2018,UKH3,2016,85
2018,UKI3,2016,1434
2018,UKI4,2016,408
2018,UKI5,2016,14
2018,UKI6,2016,721
2018,UKI7,2016,41
2018,UKJ1,2016,188
2018,UKJ2,2016,126
2018,UKJ3,2016,766
2018,UKJ4,2016,77
2018,UKK1,2016,291
2018,UKK2,2016,81
2018,UKK3,2016,197
2018,UKK4,2016,120
2018,UKL1,2016,1351
2018,UKL2,2016,500
2018,UKM5,2016,49
2018,UKM6,2016,0
2018,UKM7,2016,570
2018,UKM8,2016,194
2018,UKN0,2016,7
