year,nuts_id,nuts_year_spec,gbp_research_income
2015,UKC1,2013,80683000.0
2016,UKC1,2013,82507000.0
2017,UKC1,2013,81711000.0
2018,UKC1,2016,83710000.0
2015,UKC2,2013,159301000.0
2016,UKC2,2013,156938000.0
2017,UKC2,2013,159548000.0
2018,UKC2,2016,162619000.0
2015,UKD1,2013,531000.0
2016,UKD1,2013,610000.0
2017,UKD1,2013,806000.0
2018,UKD1,2016,655000.0
2015,UKD3,2013,366059000.0
2016,UKD3,2013,356437000.0
2017,UKD3,2013,395175000.0
2018,UKD3,2016,424233000.0
2015,UKD4,2013,68615000.0
2016,UKD4,2013,69457000.0
2017,UKD4,2013,73138000.0
2018,UKD4,2016,76830000.0
2015,UKD6,2013,2814000.0
2016,UKD6,2013,2216000.0
2017,UKD6,2013,3889000.0
2018,UKD6,2016,3875000.0
2015,UKD7,2013,138197000.0
2016,UKD7,2013,139186000.0
2017,UKD7,2013,138946000.0
2018,UKD7,2016,145833000.0
2015,UKE1,2013,19625000.0
2016,UKE1,2013,18130000.0
2017,UKE1,2013,17674000.0
2018,UKE1,2016,19218000.0
2015,UKE2,2013,88137000.0
2016,UKE2,2013,89641000.0
2017,UKE2,2013,94978000.0
2018,UKE2,2016,99311000.0
2015,UKE3,2013,223692000.0
2016,UKE3,2013,211595000.0
2017,UKE3,2013,252755000.0
2018,UKE3,2016,240227000.0
2015,UKE4,2013,202427000.0
2016,UKE4,2013,207754000.0
2017,UKE4,2013,215892000.0
2018,UKE4,2016,230271000.0
2015,UKF1,2013,185892000.0
2016,UKF1,2013,186900000.0
2017,UKF1,2013,184596000.0
2018,UKF1,2016,187827000.0
2015,UKF2,2013,137591000.0
2016,UKF2,2013,142779000.0
2017,UKF2,2013,145477000.0
2018,UKF2,2016,142928000.0
2015,UKF3,2013,9490000.0
2016,UKF3,2013,12243000.0
2017,UKF3,2013,12076000.0
2018,UKF3,2016,12873000.0
2015,UKG1,2013,1957000.0
2016,UKG1,2013,2267000.0
2017,UKG1,2013,1966000.0
2018,UKG1,2016,2210000.0
2015,UKG2,2013,29555000.0
2016,UKG2,2013,31308000.0
2017,UKG2,2013,30215000.0
2018,UKG2,2016,29791000.0
2015,UKG3,2013,369578000.0
2016,UKG3,2013,370176000.0
2017,UKG3,2013,385036000.0
2018,UKG3,2016,225162000.0
2015,UKH1,2013,640478000.0
2016,UKH1,2013,639792000.0
2017,UKH1,2013,709098000.0
2018,UKH1,2016,789376000.0
2015,UKH2,2013,68415000.0
2016,UKH2,2013,65938000.0
2017,UKH2,2013,66830000.0
2018,UKH2,2016,76634000.0
2015,UKH3,2013,40841000.0
2016,UKH3,2013,46709000.0
2017,UKH3,2013,46409000.0
2018,UKH3,2016,48154000.0
2015,UKI3,2013,1717932000.0
2016,UKI3,2013,1676658000.0
2017,UKI3,2013,1734826000.0
2018,UKI3,2016,1767212000.0
2015,UKI4,2013,177982000.0
2016,UKI4,2013,185335000.0
2017,UKI4,2013,181832000.0
2018,UKI4,2016,191806000.0
2015,UKI5,2013,18483000.0
2016,UKI5,2013,16536000.0
2017,UKI5,2013,17768000.0
2018,UKI5,2016,18523000.0
2015,UKI6,2013,6928000.0
2016,UKI6,2013,7020000.0
2017,UKI6,2013,7618000.0
2018,UKI6,2016,7079000.0
2015,UKI7,2013,45126000.0
2016,UKI7,2013,44020000.0
2017,UKI7,2013,46383000.0
2018,UKI7,2016,45509000.0
2015,UKJ1,2013,760879000.0
2016,UKJ1,2013,794974000.0
2017,UKJ1,2013,811415000.0
2018,UKJ1,2016,861703000.0
2015,UKJ2,2013,147798000.0
2016,UKJ2,2013,148239000.0
2017,UKJ2,2013,151171000.0
2018,UKJ2,2016,158736000.0
2015,UKJ3,2013,171735000.0
2016,UKJ3,2013,198069000.0
2017,UKJ3,2013,179262000.0
2018,UKJ3,2016,186357000.0
2015,UKJ4,2013,34206000.0
2016,UKJ4,2013,33314000.0
2017,UKJ4,2013,36435000.0
2018,UKJ4,2016,37869000.0
2015,UKK1,2013,270268000.0
2016,UKK1,2013,281073000.0
2017,UKK1,2013,293882000.0
2018,UKK1,2016,301802000.0
2015,UKK2,2013,7807000.0
2016,UKK2,2013,7317000.0
2017,UKK2,2013,8314000.0
2018,UKK2,2016,9989000.0
2015,UKK3,2013,896000.0
2016,UKK3,2013,1179000.0
2017,UKK3,2013,1303000.0
2018,UKK3,2016,1412000.0
2015,UKK4,2013,106993000.0
2016,UKK4,2013,116385000.0
2017,UKK4,2013,121483000.0
2018,UKK4,2016,132552000.0
2015,UKL1,2013,117591000.0
2016,UKL1,2013,116378000.0
2017,UKL1,2013,125192000.0
2018,UKL1,2016,174210000.0
2015,UKL2,2013,161482000.0
2016,UKL2,2013,147422000.0
2017,UKL2,2013,143736000.0
2018,UKL2,2016,162735000.0
2015,UKM2,2013,624077000.0
2016,UKM2,2013,602900000.0
2017,UKM2,2013,621616000.0
2015,UKM3,2013,336887000.0
2016,UKM3,2013,344017000.0
2017,UKM3,2013,349199000.0
2015,UKM5,2013,92576000.0
2016,UKM5,2013,88492000.0
2017,UKM5,2013,82919000.0
2018,UKM5,2016,82860000.0
2015,UKM6,2013,15683000.0
2016,UKM6,2013,17464000.0
2017,UKM6,2013,21203000.0
2018,UKM6,2016,20504000.0
2018,UKM7,2016,633164000.0
2018,UKM8,2016,374102000.0
2015,UKN0,2013,144340000.0
2016,UKN0,2013,151403000.0
2017,UKN0,2013,167000000.0
2018,UKN0,2016,171649000.0
