year,nuts_id,nuts_year_spec,total_postgraduates
2014,UKC1,2010,1260.0
2015,UKC1,2013,1255.0
2016,UKC1,2013,1275.0
2017,UKC1,2013,1265.0
2018,UKC1,2016,1285.0
2014,UKC2,2010,2130.0
2015,UKC2,2013,2140.0
2016,UKC2,2013,2255.0
2017,UKC2,2013,2245.0
2018,UKC2,2016,2215.0
2014,UKD1,2010,10.0
2015,UKD1,2013,25.0
2016,UKD1,2013,15.0
2017,UKD1,2013,15.0
2018,UKD1,2016,10.0
2014,UKD3,2010,4050.0
2015,UKD3,2013,4085.0
2016,UKD3,2013,4200.0
2017,UKD3,2013,4375.0
2018,UKD3,2016,4455.0
2014,UKD4,2010,1345.0
2015,UKD4,2013,1240.0
2016,UKD4,2013,1195.0
2017,UKD4,2013,1295.0
2018,UKD4,2016,1265.0
2014,UKD6,2010,75.0
2015,UKD6,2013,85.0
2016,UKD6,2013,85.0
2017,UKD6,2013,90.0
2018,UKD6,2016,125.0
2014,UKD7,2010,1870.0
2015,UKD7,2013,2065.0
2016,UKD7,2013,2220.0
2017,UKD7,2013,2210.0
2018,UKD7,2016,2255.0
2014,UKE1,2010,645.0
2015,UKE1,2013,635.0
2016,UKE1,2013,590.0
2017,UKE1,2013,460.0
2018,UKE1,2016,525.0
2014,UKE2,2010,1275.0
2015,UKE2,2013,1270.0
2016,UKE2,2013,1270.0
2017,UKE2,2013,1255.0
2018,UKE2,2016,1280.0
2014,UKE3,2010,2560.0
2015,UKE3,2013,2560.0
2016,UKE3,2013,2480.0
2017,UKE3,2013,2435.0
2018,UKE3,2016,2480.0
2014,UKE4,2010,3110.0
2015,UKE4,2013,3210.0
2016,UKE4,2013,3210.0
2017,UKE4,2013,3305.0
2018,UKE4,2016,3285.0
2014,UKF1,2010,3065.0
2015,UKF1,2013,3090.0
2016,UKF1,2013,3135.0
2017,UKF1,2013,3105.0
2018,UKF1,2016,3155.0
2014,UKF2,2010,2235.0
2015,UKF2,2013,2315.0
2016,UKF2,2013,2200.0
2017,UKF2,2013,2105.0
2018,UKF2,2016,2250.0
2014,UKF3,2010,240.0
2015,UKF3,2013,255.0
2016,UKF3,2013,255.0
2017,UKF3,2013,260.0
2018,UKF3,2016,275.0
2014,UKG1,2010,35.0
2015,UKG1,2013,25.0
2016,UKG1,2013,35.0
2017,UKG1,2013,35.0
2018,UKG1,2016,50.0
2014,UKG2,2010,450.0
2015,UKG2,2013,410.0
2016,UKG2,2013,410.0
2017,UKG2,2013,365.0
2018,UKG2,2016,370.0
2014,UKG3,2010,4435.0
2015,UKG3,2013,4510.0
2016,UKG3,2013,4545.0
2017,UKG3,2013,4615.0
2018,UKG3,2016,4790.0
2014,UKH1,2010,5520.0
2015,UKH1,2013,5485.0
2016,UKH1,2013,5465.0
2017,UKH1,2013,5415.0
2018,UKH1,2016,5155.0
2014,UKH2,2010,1005.0
2015,UKH2,2013,945.0
2016,UKH2,2013,870.0
2017,UKH2,2013,895.0
2018,UKH2,2016,850.0
2014,UKH3,2010,895.0
2015,UKH3,2013,910.0
2016,UKH3,2013,720.0
2017,UKH3,2013,820.0
2018,UKH3,2016,825.0
2014,UKI1,2010,13990.0
2014,UKI2,2010,1670.0
2015,UKI3,2013,11900.0
2016,UKI3,2013,11930.0
2017,UKI3,2013,12100.0
2018,UKI3,2016,12575.0
2015,UKI4,2013,2085.0
2016,UKI4,2013,2115.0
2017,UKI4,2013,1980.0
2018,UKI4,2016,2005.0
2015,UKI5,2013,325.0
2016,UKI5,2013,295.0
2017,UKI5,2013,260.0
2018,UKI5,2016,265.0
2015,UKI6,2013,285.0
2016,UKI6,2013,275.0
2017,UKI6,2013,245.0
2018,UKI6,2016,225.0
2015,UKI7,2013,980.0
2016,UKI7,2013,870.0
2017,UKI7,2013,825.0
2018,UKI7,2016,890.0
2014,UKJ1,2010,6085.0
2015,UKJ1,2013,6485.0
2016,UKJ1,2013,6340.0
2017,UKJ1,2013,5765.0
2018,UKJ1,2016,5905.0
2014,UKJ2,2010,2465.0
2015,UKJ2,2013,2485.0
2016,UKJ2,2013,2410.0
2017,UKJ2,2013,2295.0
2018,UKJ2,2016,2335.0
2014,UKJ3,2010,2570.0
2015,UKJ3,2013,2480.0
2016,UKJ3,2013,2370.0
2017,UKJ3,2013,2230.0
2018,UKJ3,2016,2185.0
2014,UKJ4,2010,1135.0
2015,UKJ4,2013,1170.0
2016,UKJ4,2013,1195.0
2017,UKJ4,2013,1175.0
2018,UKJ4,2016,1180.0
2014,UKK1,2010,2815.0
2015,UKK1,2013,2805.0
2016,UKK1,2013,3020.0
2017,UKK1,2013,3045.0
2018,UKK1,2016,3010.0
2014,UKK2,2010,340.0
2015,UKK2,2013,335.0
2016,UKK2,2013,315.0
2017,UKK2,2013,280.0
2018,UKK2,2016,290.0
2014,UKK3,2010,10.0
2015,UKK3,2013,5.0
2016,UKK3,2013,5.0
2017,UKK3,2013,10.0
2018,UKK3,2016,15.0
2014,UKK4,2010,1555.0
2015,UKK4,2013,1500.0
2016,UKK4,2013,1515.0
2017,UKK4,2013,1605.0
2018,UKK4,2016,1585.0
2014,UKL1,2010,1455.0
2015,UKL1,2013,1490.0
2016,UKL1,2013,1630.0
2017,UKL1,2013,1625.0
2018,UKL1,2016,1760.0
2014,UKL2,2010,1680.0
2015,UKL2,2013,1715.0
2016,UKL2,2013,1615.0
2017,UKL2,2013,1580.0
2018,UKL2,2016,1630.0
2014,UKM2,2010,4420.0
2015,UKM2,2013,5505.0
2016,UKM2,2013,5435.0
2017,UKM2,2013,5450.0
2014,UKM3,2010,3665.0
2015,UKM3,2013,3770.0
2016,UKM3,2013,3875.0
2017,UKM3,2013,3975.0
2014,UKM5,2010,1015.0
2015,UKM5,2013,1005.0
2016,UKM5,2013,1010.0
2017,UKM5,2013,1055.0
2018,UKM5,2016,1015.0
2014,UKM6,2010,25.0
2015,UKM6,2013,45.0
2016,UKM6,2013,55.0
2017,UKM6,2013,90.0
2018,UKM6,2016,105.0
2018,UKM7,2016,5650.0
2018,UKM8,2016,4115.0
2014,UKN0,2010,1665.0
2015,UKN0,2013,1725.0
2016,UKN0,2013,1755.0
2017,UKN0,2013,1850.0
2018,UKN0,2016,1760.0
