year,nuts_id,nuts_year_spec,travel_to_road_junctions_average_time
2011,UKC1,2010,14.98
2013,UKC1,2013,15.11
2013,UKC2,2013,17.81
2011,UKC2,2010,17.76
2013,UKD1,2013,37.47
2011,UKD1,2010,37.62
2013,UKD3,2013,11.58
2011,UKD3,2010,11.61
2013,UKD4,2013,20.26
2011,UKD4,2010,20.25
2013,UKD6,2013,17.65
2011,UKD6,2010,17.65
2013,UKD7,2013,11.83
2011,UKD7,2010,11.78
2013,UKE1,2013,19.96
2011,UKE1,2010,19.85
2013,UKE2,2013,28.8
2011,UKE2,2010,28.64
2011,UKE3,2010,15.27
2013,UKE3,2013,15.26
2013,UKE4,2013,18.16
2011,UKE4,2010,18.11
2011,UKF1,2010,22.08
2013,UKF1,2013,22.09
2011,UKF2,2010,17.06
2013,UKF2,2013,17.07
2011,UKF3,2010,36.81
2013,UKF3,2013,37.01
2011,UKG1,2010,22.34
2013,UKG1,2013,22.47
2013,UKG2,2013,25.09
2011,UKG2,2010,25.15
2013,UKG3,2013,15.29
2011,UKG3,2010,15.3
2013,UKH1,2013,38.55
2011,UKH1,2010,38.13
2013,UKH2,2013,20.82
2011,UKH2,2010,20.88
2013,UKH3,2013,21.96
2011,UKH3,2010,21.9
2011,UKI1,2010,27.78
2011,UKI2,2010,20.3
2013,UKI3,2013,25.4
2013,UKI4,2013,29.15
2013,UKI5,2013,19.72
2013,UKI6,2013,27.33
2013,UKI7,2013,16.01
2011,UKJ1,2010,18.81
2013,UKJ1,2013,18.77
2011,UKJ2,2010,29.6
2013,UKJ2,2013,29.61
2011,UKJ3,2010,15.42
2013,UKJ3,2013,15.36
2011,UKJ4,2010,18.04
2013,UKJ4,2013,18.18
2013,UKK1,2013,22.99
2011,UKK1,2010,22.94
2013,UKK2,2013,39.46
2011,UKK2,2010,39.61
2013,UKK3,2013,95.16
2011,UKK3,2010,94.85
2011,UKK4,2010,40.54
2013,UKK4,2013,40.73
2013,UKL1,2013,70.48
2011,UKL1,2010,70.76
2011,UKL2,2010,37.92
2013,UKL2,2013,37.52
