year,nuts_id,nuts_year_spec,mean_ref
2014,UKH1,2013,3.29
2014,UKI3,2013,3.2
2014,UKL2,2013,3.2
2014,UKJ1,2013,3.18
2014,UKE3,2013,3.1
2014,UKM2,2013,3.08
2014,UKC1,2013,3.08
2014,UKE2,2013,3.06
2014,UKK1,2013,3.05
2014,UKG3,2013,3.02
2014,UKD3,2013,3.0
2014,UKJ3,2013,3.0
2014,UKM3,2013,2.99
2014,UKJ2,2013,2.98
2014,UKI4,2013,2.97
2014,UKK4,2013,2.97
2014,UKF1,2013,2.96
2014,UKN0,2013,2.95
2014,UKE4,2013,2.93
2014,UKD7,2013,2.92
2014,UKL1,2013,2.91
2014,UKC2,2013,2.89
2014,UKM5,2013,2.88
2014,UKF2,2013,2.85
2014,UKD4,2013,2.85
2014,UKJ4,2013,2.84
2014,UKH3,2013,2.79
2014,UKH2,2013,2.77
2014,UKM6,2013,2.76
2014,UKG2,2013,2.72
2014,UKI6,2013,2.7
2014,UKE1,2013,2.7
2014,UKK2,2013,2.69
2014,UKI7,2013,2.58
2014,UKF3,2013,2.51
2014,UKI5,2013,2.35
2014,UKD1,2013,2.13
2014,UKD6,2013,2.08
2014,UKG1,2013,2.08
2014,UKK3,2013,2.04
