year,nuts_id,nuts_year_spec,total_4_fte
2014,UKI3,2013,3099.78
2014,UKJ1,2013,1438.36
2014,UKM2,2013,1163.48
2014,UKH1,2013,1116.53
2014,UKG3,2013,757.93
2014,UKD3,2013,629.42
2014,UKK1,2013,620.86
2014,UKM3,2013,537.79
2014,UKF1,2013,485.0
2014,UKE4,2013,453.53
2014,UKJ3,2013,416.84
2014,UKI4,2013,410.57
2014,UKJ2,2013,410.38
2014,UKE3,2013,387.85
2014,UKC2,2013,344.19
2014,UKF2,2013,333.84
2014,UKN0,2013,322.85
2014,UKL2,2013,311.32
2014,UKK4,2013,267.39
2014,UKL1,2013,262.55
2014,UKD7,2013,256.35
2014,UKC1,2013,249.22
2014,UKD4,2013,232.56
2014,UKE2,2013,231.48
2014,UKJ4,2013,158.39
2014,UKM5,2013,150.54
2014,UKI7,2013,122.68
2014,UKH3,2013,112.29
2014,UKH2,2013,102.15
2014,UKG2,2013,62.55
2014,UKE1,2013,50.53
2014,UKK2,2013,27.53
2014,UKF3,2013,23.74
2014,UKI6,2013,22.62
2014,UKI5,2013,19.69
2014,UKM6,2013,8.7
2014,UKD6,2013,7.62
2014,UKG1,2013,4.9
2014,UKK3,2013,3.62
2014,UKD1,2013,1.73
